V1,V2,weight
DFalconeti,_antiantia,2
joshua__frank,_danisaurio,2
goffmansmasker,_ericblanc,2
AleFerruzcaL,_frankyjalisco_,2
SabatoFan,_LILANINO2,2
Maryest66760646,_NicoDelRojo,2
yaciramendoza,_SixP4ck3r,2
_KevFal_,29Cheva_Patria,2
JpFair,2muchfun4me,2
mundodedesigual,4nchZ,2
Nsnc2019,A24COM,2
deborakr,A24COM,2
GDAEman,aaronjmate,2
MarKaAbyaYala,abimengaildoza,2
quimogrande,abrahamendieta,2
Markbearz,Absa90,2
Gaby_Joy97,ACA63050490,2
descuajeringado,AccionDeAmparo,2
Jckarlos521,ACHEcolonos,2
Barry__Ale,acrilo,2
shalom_wil,ActualidadRT,2
omahatma,ActualidadRT,2
Beluga2Whale,adamjohnsonNYC,2
PatriciaRevoll7,AdolfoMendozaL,2
SUSSYSSSSS,AdriAeroshk,2
DukeParada,AdriAeroshk,2
Jose_valentin63,AdriAeroshk,2
digdougdogman,AFP,2
EtchyaSketch,AFP,2
democratman1,AFPespanol,2
PabloH712,Ag_Monteverde,2
VazquezSilvis,agustingc2012,2
LaSuchel_,ahora_elpueblo,2
Valentin1Garcia,ajplus,2
emandeb,AlberdianoArg,2
Jorgeluishr81,AlbertoRodNews,2
Carlos_Loaisiga,AlbertoVacaB,2
Lorevivaelnorte,aleb2222,2
wrychrd,AlecStapp,2
MonicaAparicioA,AleSerrate,2
BoliviaDijoNo19,AleSerrate,2
jcboada1974,AlexAnfruns,2
rayleon1515,Alexelion1,2
cocorojas83,alferdez,2
ScaMariel,alferdez,2
pamemar1,alferdez,2
Bizco_Chuelo,alferdez,2
AsTragedy,algoraphobia,2
anruceland,AliciaCastroAR,2
Orbysaurio,AliciaCastroAR,2
GiovanniTorre,ALilOffBrand,2
LaAlfareraOk,Almagro_OEA2015,2
PIRHUAN,Almagro_OEA2015,2
cruz_andrades,Almagro_OEA2015,2
ElPutoAmofsln,Almagro_OEA2015,2
PachiBarrueco,AlmeidaPP_,2
elinforman_t,alopezescarre,2
milenca_mendez,alopezescarre,2
CSU_DG,alvaro_delgado,2
monroy000,alvaro_delgado,2
Rifore2,AlvaroUribeVel,2
marialuisalg1,Amadoelquelolea,2
fumciafaragua1,AmalCandanguera,2
TiradoOmar,Amapola2226,2
RodrigoCanedo7,AMPARIT0,2
Alonzo55706185,amuytha,2
Paola_A_Ardiles,Amy_Siskind,2
BustTheNotes,AnActualWizard,2
Noemy14082278,AnaLRiosCayoja,2
Lia72274818,andreamagarzo,2
LuisOrlandoS,AndresPastrana_,2
NeilKenny10,Andrew_Adonis,2
TheBern420,andrew_murdock,2
TheBern420,andrew_murdock,2
MonicaAparicioA,AngelitoBalder1,2
CasanovasLeny,AngeloR23,2
rubenargen,anibarra,2
Pueblo_Bolivia,Anittamar,2
MonicaAparicioA,anoticiat,2
MonicaAparicioA,anoticiat,2
MonicaAparicioA,anoticiat,2
LARRYTEATRO1,anoticiat,2
Noemi21734263,antomaldee,2
Javito_Yeah,anvitel,2
AnaSofi60778932,AOC,2
DanielAndrade_S,AOC,2
diegoarosemena,AOC,2
and_thisJustin,AP4Liberty,2
Dia_libertad,arce_catacora,2
MTRichards400,arce_catacora,2
elguiapractica,AreliPaz,2
CRITICOFRANCO,aristeguicnn,2
BreezeSea77,aristeguicnn,2
salvador_agui,arnemx,2
Robert_Fortes,arte_prima,2
Alex_PontesRJ,arte_prima,2
Floreios,arte_prima,2
AnaMarRey,ArturoMurilloS,2
gabrielutopia,ArturoMurilloS,2
honor67b,ArturoMurilloS,2
Javiervela79,ArturoMurilloS,2
Carrous_el,ArturoMurilloS,2
Ari_el777,ArturoMurilloS,2
MonicaAparicioA,ArturoMurilloS,2
SaulAnez1,ArturoMurilloS,2
mccloud_jeans,ArturoZaldivarL,2
GrunidoDeOso,atlanticsurff,2
ajplusespanol,azarugjustel,2
Paolita47745865,bbcmundo,2
fabiolacomsille,BeadiAlex,2
LuzMariaChavez1,beatrizldelacer,2
AlbertM81,BELLA_RJR25,2
GABRAor,BenjaminNorton,2
BoWhoma,BenjaminNorton,2
NewParisite,BenjaminNorton,2
ejhchess,BenPBradshaw,2
taseenb,bernamallo,2
niktaylorde,BernieSanders,2
riverhawkfox,BernieSanders,2
niktaylorde,BernieSanders,2
SarcasmStardust,BernieSanders,2
bispo_maximus,Biakicis,2
BokhieSalma,BibiMonteroDR,2
mgutierrezm,biobio,2
GiovanyMeza1,BluRadioCo,2
ferlopezarinez,Bolivia_MHE,2
0dioLosZancudos,Bolivia_MHE,2
t_taeki,Bolivia_MHE,2
andrea_cpBO,BoliviaDijoNo19,2
paldapiz,BolPaucara,2
Crespo1Ein,BrianQuill7,2
OOOlson,briebriejoy,2
OOOlson,briebriejoy,2
llopezglez,BrunoRguezP,2
angelespi7,brunosgarzini,2
MarKaAbyaYala,BTCTigre,2
YaotlAltan,btoxic79,2
avalencia2o,BurroDeVaron,2
CarladelCarpio,c_baldelamar,2
MonicaAparicioA,C5N,2
ENRIQUEZEGARRAG,CalvimontesJ,2
CtsFs,candresperedo,2
delgadillo_leny,Candylejas26,2
carlogalarza_,CapiLibertaria,2
BanuetArturo,CapiLibertaria,2
TeamDoctor9,CARITO_Bolivia,2
DukeParada,CARITO_Bolivia,2
ClauLetC,CARITO_Bolivia,2
alvez_rebeca,CarkalR,2
JesusRi47831844,Carlangas20073,2
trikitraka1976,carlesgusau,2
babygalactic1,carlixpc,2
rayleon1515,CarlosarroyoJ,2
havedia,carlosdmesag,2
juancar35546865,Carloslopezjone,2
AldrichReneRHN,CarlosLoret,2
Lucita57992341,carlospintex,2
_fermose,CarmenEGonzale2,2
asaoyvino,CarmenEGonzale2,2
diegoalban,CarmenEGonzale2,2
RodrigoyPueblo,CarmenEGonzale2,2
FAMDEZ,CarmenEGonzale2,2
jime_mingo,CarmenEGonzale2,2
laureanoburgos,Carobal,2
SalvarezzaRuben,catracho146,2
Carlosureta12,Catralita_,2
Malenitamovima,Catv20171,2
Gabyyanine1,Catv20171,2
JodiKoberinski,Cdn_Billionaire,2
luchoamezaga,CeciliaLemaitr4,2
Jokeraton,CeDemocratico,2
AdrianaT9735,CerCastaneda,2
hugobalderrama,CerdaGenner,2
Fany75112488,cesargalastica,2
LicoMaldo,CFKArgentina,2
Antonio59487815,CFKArgentina,2
marilucha2022,CGMiguel25,2
VictorCortesC,ChalecosAmarill,2
aarpita1,ChalecosAmarill,2
s_yosoy,CharlyM54754699,2
JPBrooks13,Chembaby2,2
GaryField4,chilepuro,2
Bo20S,chilepuro,2
getupgetfree,chrislhayes,2
scitydreamer,ChrisMurphyCT,2
ResistorPl,ChumelTorres,2
0_Outlander,CIDH,2
M76Marcelo,CIDH,2
